Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-000519,02/26/2013,9:10 PM,Larceny,18 Washington Place,"On time and date of report, a student states that between 5:50pm and 9pm on date of report, his bicycle valued at $700 was taken from the scaffolding in front of the building. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000528,02/27/2013,6:50 PM,Criminal Mischief,18 Washington Place,"On time and date of report, Public Safety was apprised of non bias graffiti written in the men's room on the 1st floor. It is unknown when this occurred or who is responsible.",Closed/No Identifiable Suspect
1-2013-000533,02/27/2013,9:50 AM,Larceny,Kriser Dental Center,"On time and date of report, a staff member states that between 12:30pm and 12:45pm on February 27th, her wallet containing credit cards, cash and personal identification was taken. from her desk in a clinic on the 6th floor while it was left unattended. Declined police notification at this time.",Closed/No Suspects or Witnesses
1-2013-000542,02/28/2013,8:15 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room",Closed/Referred to University Judicial
1-2012-003499,11/01/2012,12:00 AM,Criminal Mischief,Founders Hall,"On time and date of report, Public Safety was apprised of bias symbols that were drawn on posters on the 23rd floor. The posters were removed and saved as part of the investigation.",Open/Under Investigation
1-2012-003500,11/01/2012,11:30 PM,Larceny,Third Avenue North Residence Hall,"On time and date of report, a student (who is a resident of Alumni Hall) states that between 12:00am October 31 and time/date of report his suitcase was stolen from the 2nd Floor Lounge in the South Tower. Declined police notification.",Open/Under Investigation
1-2012-003502,11/1/2012,2:00 PM,Criminal Mischief,Gramercy Green,"On time and date of report, Public Safety was apprised by an RA that he discovered non-bias grafitti in the A stairwell on the 8th, 15th, and 16th floors.",Open/Under Investigation
1-2012-003503,11/02/2012,6:00 PM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life in the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2012-003504,11/02/2012,4:00 PM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life in the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2012-003515,11/03/2012,5:45 PM,Criminal Mischief,King Juan Carlos Center,"On time and date of report, an NYU Security Officer discovered that the access card reader box at the front door entrance gate was damaged (but still functional).",Open/Under Investigation
1-2012-003520,11/04/2012,1:30 AM,Controlled Substance,Third Avenue North Residence Hall,"On time and date of report, Public Safety assisted residence life in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003524,11/05/2012,3:45 AM,Robbery,On Campus,"On time and date of report, a student states that at approximately 2:55am on date of report in front of 100 Washington Square East, she was approached by three unidentified males on bicycles, one of whom snatched her i-Phone 4 from her hands. The phone was dropped approximately one block away and recovered. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003525,11/05/2012,8:55 AM,Larceny,Kiser Dental Center,"On time and date of report, an NYU dental student states that between 2:00pm and 2:15pm on October 25, two dental implants valued at $250 each were taken from a table inside Clinic 2-S. Declined police notification.",Open/Under Investigation
1-2012-003529,11/05/2012,11:15 AM,Harrassment,On Campus,"On time and date of report, a female student states that she received (in person) an innappropriate letter and has experienced numerous random, suspicious encounters with a male NYU student at Bobst library and other locations on campus.",Open/Under Investigation
1-2012-003533,11/01/2012,12:00 AM,Criminal Mischief,Gramercy Green,"On time and date of report, Public Safety was apprised by an RA that he discovered non-bias graffitti in the A stairwell between the 3rd and 4th floors.",Open/Under Investigation
1-2012-003539,11/05/2012,10:30 PM,Larceny,Bobst Library,"On time and date of report, a student states that at approximately 6:30pm on date of report his Mac laptop of unknown value was taken from a desk on the 7th floor while he left it unattended momentarily to smoke a cigarette. Declined police notification.",Open/Under Investigation
1-2012-003541,11/06/2012,1:35 AM,Assault,On Campus,"On time and date of report, a homeless male entered the Public Safety command center and stated that at 11:40pm on November 5 his brother (also homeless) was stabbed in the calf during a dispute with another homeless male on the corner of Mercer St. and W. 4th St. By the time that NYU Public Safety responded, NYPD was already on the scene.",Closed/Referred to NYPD
1-2012-003545,11/06/2012,2:30 PM,Larceny,Bobst Library,"On time and date of report, a non-NYU affiliated visitor states that between 1:00pm and 2:00pm on date of report her Toshiba laptop of unknown value was taken from the 7th floor of the library while she left it unattended. Declined police notification.",Open/Under Investigation
1-2012-003564,11/08/2012,5:30 PM,Larceny,Third Avenue North Residence Hall,"On time and date of report, a student states that between 12:00pm and 7:30pm on November 7, his knapsack containing his HP laptop valued at $1800 was taken from the cafeteria. Declined police notification.",Open/Under Investigation
1-2012-003568,11/08/2012,10:20 PM,Controlled Substance,12th Street Dorm/Founders Hall,"On time and date of report, Public Safety assisted residence life in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003569,11/09/2012,12:15 AM,Harassment,80 Lafayette Street,"On time and date of report, a student states that another student has been verbally and physically harassing him. Mediated by resdience life",Closed/Referred to Appropriate Department
1-2012-003575,11/09/2012,12:45 PM,Larceny,Fairchild Building,"On time and date of report, a student states that at 11:35am on date of report, he left his wallet containing cash, credit cards and personal identificationon a sofa located in the lobby. When he returned a few minutes later, the property was missing. NYPD notified and a polcie report was filed.",Open/Under Investigation
1-2012-003580,11/09/2012,4:10 PM,Harassment,12th Street Dorm/Founders Hall,"On time and date of report, Publiuc Safety was apprised of a physical and verbal confrontation between two CBS staff members in the lower level of the building which resulted in the notification to NYPD and CBS management.",Closed/Referred to Appropriate Department
1-2012-003583,11/09/2012,11:38 PM,Assault,Education Building,"On time and date of report, A Public Safety officer was struck in the face by a non NYU affiliated individual after being denied access into the building. Individal detained and placed under arrest by responding police officers.",Closed/Arrest Involved
1-2012-003584,11/10/2012,1:26 AM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life staff in the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2012-003586,11/10/2012,12:10 AM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judidical
1-2012-003587,11/10/2012,4:30 AM,Fire Alarm/Mischievious,Weinstein Hall,"On time and date of report, the fire alarm in the building activated. Upon investigation, it was determined that a fire extinguisher had been discharged causing alarm. There was no fire or smoke condition present which would have needed the discharge of the extinguisher.",Open/Under Investigation
1-2012-003590,11/10/2012,6:00 PM,Larceny,Off Campus,"On time and date of report, a student states that on November 9th at approximately 6:30pm while standing by the rear entrance of the Palladium Residence Hall on 13th street, an unidentified male grabbed her I-Phone valued at $400 from her hand. Student filed a police report at the 9th pct.",Closed/Referred to NYPD
1-2012-003591,11/10/2012,9:45 PM,Larceny,Vanderbilt Hall,"On time and date of report, a studnet states that between 8:50pm and time/date of report, his backpack containing personal property was taken from the coat rack on the first floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003600,11/05/2012,11:06 AM,Larceny,NYU Washington DC,Public Safety was apprised that a laptop computer of unknown value was taken from an open office between October 16th and October 18th.,Closed/No Identifiable Suspects
1-2012-003606,11/12/2012,12:15 PM,Disorder Conduct,On Campus,"On time and date of report, a student states that a non NYU affiliated individual became irate and disorderly towards her when she could not light his cigarette as she was standing on the sidewalk outside of Weinstein Hall. Public Safety interceded and the individual apologized before walking away.",Closed/No Further Action
1-2012-003608,11/12/2012,2:00 PM,Larceny,On Campus,"On time and date of report, a student states that between 7:30pm and 9:30pm on November 11th, his bicycle valued between $150 and $250 was taken from the scaffolding outside Weinstein Hall. Declined police notification at this time.",Open/Under Investigation
1-2012-003609,11/12/2012,3:41 PM,Larceny,NYU Bookstore/726 Broadway,"On time and date of repoprt, a NYU student was observed concealing a text book valued at $127.75 and walking out of the store with making payment. Individual detained and property recovered.",Closed/Referred to University Judicial
1-2012-003612,11/12/2012,6:05 PM,Assault,On Campus,"On time and date of report, Public Safety was apprised by a contractor that an unidentified male struck him in the face without provocation while standing on the sidewalk in front of 239 Greene Street at 5:45pm on date of report. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003613,11/12/2012,9:20 PM,Controlled Substance,Carlyle Court,"On time and date of report, Public Safety assisted resdience life staff with the confiscation of marijuana and drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003624,11/13/2012,11:40 AM,Harassment,721 Broadway,"On time and date of report, a student states that a former student who had previously been reported as harassing her attempted to speak with her on the 2nd floor staircase. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003633,11/13/2012,6:45 PM,Larceny,Coles Sports Center,"On time and date of report, a visiting scholar states that upon returning to his locker, a pair of shoes valued at $175 had been taken. Shoes had been left outside the locker.",Open/Under Investigation
1-2012-003634,11/13/2012,8:20 PM,Larceny,721 Broadway,"On time and date of report, a student states that between 5pm and 6:45pm on date of report, her wallet contaaining credit cards and petrsonal identification was taken from her bag while left unattended in the hallway on the 2nd floor. Declined police notification at this time.",Open/Under Investigation
1-2012-003647,11/14/2012,8:00 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a wallet turned in to Public Safety at 5pm on date of report from the 3rd floor cafeteria was retrieved by its owner, an NYU studnet, at 8pm on date of report. Student states $100 (USC) was missing. Declined police notification.",Open/Under Investigation
1-2012-003648,11/15/2012,12:00 AM,Controlled Substance,Brittany Hall,"On time and date of report, Public Safety assisted resdience hall staff in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003653,11/15/2012,2:30 PM,Controlled Substance,Weinstein Hall,"On time and date of report, Public Safety assisted resdience hall staff in the confiscation of marijuana from a student's room.",Closed/Referrd to University Judicial
1-2012-003656,11/15/2012,3:00 PM,Sexual Offense,80 Lafayette Street,"On time and date of report, Public Safety was apprised of a student stating she was a victim of a sexual assault by her boyfriend which occurred on September 30th. Student declined police notification.",Closed/Referred to University Judicial
1-2012-003666,11/16/2012,9:00 AM,Larceny,Gramercy Green,"On time and date of report, a student states that between 2ma and 8:45am on date of report, laundry of undetermined value was taken by unknown persons. Declined police notification.",Closed/No Suspects or Witnesses
1-2012-003670,11/16/2012,7:00 PM,Larceny (reclassified as missing property/found),58 Washington Square South,"On time and date of report, a staff member states that between 7:30pm November 15th and 11am Novemner 16th, a painting valued at $300 was taken from a location on the 4th floor. Declined police notification at this time. NOTE: Complainant reported to Public Safety on 11/21/12 that she located her property.",Closed/Property Recovered
1-2012-003678,11/17/2012,5:04 PM,Larceny/Attempted,Tisch Hall Bicycle Rack,"On time and date of report, a Public Safety supervisor observed an individual, later identified as non NYU affiliated, attempting to use a bolt cutter to remove a bicycle from the location. When questioned, the person fled, but was apprehended and arrested by the NYPD.",Closed/Arrest Involved
1-2012-003679,11/17/2012,5:20 PM,Harassment,726 Broadway/NYU Bookstore,"On time and date of report, two employees stated that an unidentified male while purchasing items made inappropriate comments to them. Individual left the premises prior to Public Safety notification.",Closed/No Further Action
1-2012-003692,11/18/2012,5:45 PM,Larceny,Education Building,"On time and date of report, a student states that her backpack containing a Mac laptop computer, $350 (USC) and 2 credit cards was taken from the Lowe Theater while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003699,11/19/2012,12:30 PM,Larceny,10 Astor Place,"On time and date of report, a staff member states that between November 16th and date of report, a cable to a camera located on the 4th floor was taken.",Open/Under Investigation
1-2012-003705,11/19/2012,8:45 PM,Assault,Off Campus,"At time and date of report, two non NYU affiliated individuals were arrested for the assault of an NYU student. The student had lent his I-Phone to one individual while walking on 2nd Avenue. When the individual refused to return the phone and fled from the location, the student followed and was assaulted during the process. One was detained by a Public Safety officer. Both individuals were subsequently arrested by the NYPD.",Closed/Arrest Involved
1-2012-003715,11/20/2012,3:20 PM,Larceny,Kriser Dental Center,"On time and date of report,a student states that a patient took her recently taken x-rays from a cubicle in a clinic on the 2nd floor where she was being treated and left. Patient was observed walking out of the building and did not have the property in any visible location.",Open/Under Investigation
1-2012-003717,11/20/2012,9:00 PM,Larceny,Palladium Hall,"On time and date of report a student states that between 7:45pm and time/date of report, her handbag containing jewelry, credit cards and personal identification was taken from a locker located on the C-2 level of the gym. Advised to file a police report.",Open/Under Investigation
1-2012-003737,11/24/2012,6:50 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 6:45pm and time/date of report, his Mac laptop computer valued at over $1,000 was taken from a location on the 8th floor while he used the rest room. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003752,11/26/2012,2:00 PM,Larceny,240 Greene Street,"On time and date of report, a staff member states that between June 2012 and time/date of report, $88.00 (USC) was taken from a locked petty cash box located in a room on the 2nd floor. Declined NYPD notification.",Open/Under Investigation
1-2012-003753,11/26/2012,3:30 PM,Larceny,10 Astor Place,"On time and date of report, a staff member states that between November 21st and 3pm on date of report, two credit cards were missing from her locked dsk drawer in the reception area on the 5th floor. Declined police notification.",Open/Under Investigation
1-2012-003760,11/26/2012,10:00 PM,Larceny,Off Campus,"On time and date of report, a student states that between 7pm and time/date of report, her secured bicycle valued at $800 was taken from the scaffolding on the street outside the Barney Building. Advised to file a police report.",Closed/No Identifiable Suspect
1-2012-003766,11/27/2012,6:22 AM,Burglary,NYU Singapore,"On time and date of report, Public Safety was apprised of a burglary atthe site. Between September 1st and September 2nd, two offices were entered and documents were rummaged through. There was no apparent loss of property or information.",Closed/No Suspects or Witnesses
1-2012-003768,11/27/2012,9:45 AM,Harassment,Shimkin Hall,"At time and date of report, a staff member states that between October 18th and date of report, she has been receiving numerous harassing phone calls from an ex-boyfriend.",Open/Under Investigation
1-2012-003769,11/27/2012,12:15 PM,Criminal Mischief,Kriser Dental Center,"On time and date of report, a student states that between 5:30pm November 26th and 10am on date of report, the lock on her locker was tampered with. No property was reported missing.",Open/Under Investigation
1-2012-003773,11/27/2012,8:56 PM,Harassment,Third Avenue North Residence,"On time and date of report, a student states that over the past two days, he has received threatening text messages from a former friend and NYU alum. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003785,11/28/2012,11:00 AM,Criminal Mischief,Barney Building,"On time and date of report, a staff member states that between 10pm November 27th and 11am November 28th, the hasp to the basement woodshop was damaged and the lock removed. No property was reported taken.",Open/Under Investigation
1-2012-003787,11/28/2012,1:15 PM,Larceny,Off Campus,"On time and date of report, a patient of the Dental Center states that between 10:30am and 1:50pm on date of report, his secured bicycle valued at $500 was removed from a lightpole on the sidewalk in front of the building. Declined police notification.",Closed/No Identifiable Suspect
1-2012-003788,11/28/2012,1:10 PM,Larceny,Henry Kaufman Management Center,"On time and date of report, a student states that between 6pm November 26th and 12noon on the date of report, his laptop computer valued at $1,200 was removed from his secured locker. Declined police notification at this time.",Open/Under Investigation
1-2012-003792,11/28/2012,3:40 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 2pm and 3:35pm on date of report, a pair of sunglasses valued at $150 which were left unattended were reported missing from a classroom on the lower level. Declined police notification.",Open/Under Investigation
1-2012-003794,11/28/2012,5:00 PM,Harassment,Bobst Library,"On time and date of report, a visitor to the library states that she was verbally harassed by another visitor prior to making this report. Public Safety intervened and resolved the issue to both party's satisfaction.",Closed/No Further Action
1-2012-003795 & 1-2012-003796,11/28/2012,4:45 PM,Burglary,Barney Building,"On time and date of report, two students state that between 12:30pm and time/date of report, their laptop computers valued at $2,500 and $300 respectively were taken from a room on the 6th floor. NYPD notified and are investigating.",Open/Under Investigation
1-2012-003798,11/28/2012,9:35 PM,Larceny,Bobst Library,"On time and date of report, a visitor to the library states that his navy jacket was taken from a location on the 3rd floor while he was using the men's room a few minutes prior to making this report.",Closed/No Identifiable Suspect
1-2012-003808,11/29/2012,1:50 PM,Larceny,Kimball Hall,"On time and date of report, a staff member states that between 1pm November 26th and 12noon on date of report, 40 Metro cards with a value of $900 was taken from a locked safe in a room on the 4th floor. There was no visible indication of tampering to either the safe or the door leading into the room. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003810,11/29/2012,4:20 PM,Attempted Burglary,Meyer Hall,"On time and date of report, an administrator states that another employee observed on November 23rd damage to the doors leading into a lab on the 10th floor which upon further inspection, appeared to have been intentionally caused by some type of instrument. Declined police notification.",Open/Under Investigation
1-2012-003820,11/30/2012,4:40 PM,Burglary,NYU Florence,"On time and date of report, a student states that 250 euros were taken from her wallet which was left in her dresser drawer in her room at Villa Natalia. Other cash and credit cards were not taken. Declined police notification.",Open/Under Investigation
1-2012-003821,11/30/2012,3:45 pm,Larceny,Kriser Dental Center,"On time and date of report, a patient states that while being treated in the clinics on the 2nd and 3rd floors, his I-Pod valued at $200 was taken from his coat which was left unattended. Declined police notification.",Open/Under Investigation
1-2012-003825,11/30/2012,3:30 PM,Larceny,Deutsches House,"On time aqnd date of report, a staff member states that between 9pm November 26th and 5pm November 28th, a Mac laptop computer of undetermined value was taken from a cabinet on the 2nd floor. NYPD notified and a police report was filed.",Upen/Under Investigation
1-2012-003827,11/30/2012,9:35 PM,Controlled Substance,University Hall,"On time and date of report, Public Safety assisted residence life in the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2012-003052,10/01/2012,8:25 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 1:40pm and 2pm on date of report, her unattended I-Phone valued at $500 was taken from the ladies bathroom on the 1st floor. declined police notification.",Open/Under Investigation
1-2012-003060,10/02/2012,12:00 AM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2012-003065,10/02/2012,11:45 AM,Larceny,Bobst Library,"On time and date of report, a CBS employee states that between 10:30am and 10:50am on date of report, $520 (USC) was taken from an envelope she had left in her cleaning cart on the lower level. NYPD was notified and a police report was filed.",Open/Under Investigation
1-2012-003071,10/02/2012,6:10 PM,Harassment,Starbucks on the Square,"On time and date of report, Public Safety was advised that a supervisor from the lcoation was verbally threatened by a terminated employee. NYPD notified and a police report was file.",Open/Under Investigation
1-2012-003074,10/02/2012,8:50 PM,Harassment,721 Broadway,"On time and date of report, two students who were in a previous relationship filed cross complaints of harassment against each other after Public Safety intervened in a verbal dispute in the lobby at the building. One student had previously filed a police report against the other.",Open/Under Investigation
1-2012-003083,10/03/2012,12:20 PM,Criminal Mischief,12th Street Dorm/Founders Hall,"On time and date of report, a student states that between 9:30pm October 2nd and time/date of report, a bias symbol was placed on a student's room door. It is unknown who is responsible. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003084,10/03/2012,12:00 PM,Criminal Mischief,Kriser Dental Center,"On time and date of report, a staff member states that between 12noon and time/date of report, the glass window to the patient account room was intentionally damaged. It is unknown who is responsible.",Open/Under Investigation
1-2012-003086,10/03/2012,1:40 PM,Harassment,Carlyle Court,"On time and date of report, a CBS employee was verbally and physically harassed by a homeless individual while standing outside the building. NYPD notified and responded. Individual was gone on arrival.",Closed/No Further Action
1-2012-003090,10/03/2012,7:08 PM,Larceny (reclassified as missing property/recovered),Bobst Library,"On time and date of report, a student states that between 6:38pm and time/date of report, her laptop computer valued at $1,000 was taken from the lower level while it was left unattended. NYPD notified and a police report was filed. NOTE: complainant notified Public Safety on 10/5/12 that she found her property.",Closed/Unfounded
1-2012-003091 & 1-2012-003092,10/03/2012,6:30 PM,Criminal Mischief,12th Street Dorm/Founders Hall,"On time and date of report, Public Safety was apprised of a bias symbol etched on the wall near the 5th floor elevator. This had been observed on October 1st but not reported. Another symbol was spooted in elevator #3. NYPD notified and responded.",Open/Under Investigation
1-2012-003093,10/03/2012,11:20 PM,Controlled Substance,Third Avenue North Residence Hall,"On time and date of report, Public Safety assisted residence life staff in the confiscation of marijuana from a studnet's room.",Closed/Referred to University Judicial
1-2012-003111,10/04/2012,6:00 PM,Larceny,Washington Square Park,"On time and date of report, a student states that at approximately 2pm on date of report, his leather book bag containing personal property of undetermined value was taken while sitting in the park. Declined police notification.",Closed/No Identifiable Suspect
1-2012-003116,10/04/2012,10:00 PM,Harassment,12th Street Dorm/Founders Hall,"On time and date of report, a student states that an unidentified individual defaced the poster on his door and scrawled a bias comment on it. Declined police notification.",Open/Under Investigation
1-2012-003123,10/05/2012,3:10 PM,Burglary,10 Astor Place,"On time and date of report, an administrator states that between October 1st and date of report, a pair of eyeglassess was taken from a locked drawer in his locked office. No other property was discovered missing. Declined police notification.",Open/Under Investigation
1-2012-003127,10/05/2012,3:35 PM,Harassment,Kriser Dental Center,"On time and date of report, a patient became verbally and physically abusive towards individuals in the building. Escorted out of building by another staff member.",Open/Und3r Investigation
1-2012-003130,10/06/2012,1:30 AM,Controlled Substance,Third Avenue North Residence Hall,"On time and date of report, Public Safety assisted resdience life with the confiscation of drug paraphernalia.",Closed/Referred to University Judicial
1-2012-003133,10/06/2012,2:15 AM,Larceny,Third Avenue North Residence Hall,"On time and date of report, a student states that between 1:50am and time/date of report, her wallet containing crdit cards, cash and personal identification was taken while she had left it on the ground in front of the builidng. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003150,10/07/2012,7:00 PM,Larceny,Palladium Hall,"On time and date of report, a student states that between 5:30pm and time date of report, $60 (USC) and a jacket valued at $65 were taken from her room. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003152,10/07/2012,8:45 PM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life staff in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003156,10/08/2012,7:15 AM,Larceny,Kimmel Center for University Life,"On time and date of report, a staff member states that between October 5th and time/date of report, 12 lbs of coffee valued at $150 was missing from the 10th floor catering area. Declined police notification.",Open/Under Investigation
1-2012-003161,10/08/2012,7:00 PM,Harassment,Starbucks on the Square,"On time and date of report, a student states that at 5pm on October 5th, she received unwanted text messages from an unidentified individual.",Open/Under Investigation
1-2012-003162,10/08/2012,7:20 PM,Criminal Mischief,12th Street Dorm/Founders Hall,"On time and date of report, Public Safety was apprised that on October 6th at approximately 6pm, a studnet observed a bias symbol etched on a wall in the stairwell on the 5th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003176,10/09/2012,5:50 PM,Larceny,Meyer Building,"On time and date of report, a student states that between 10:15am and time/date of report, his I-Pod of undetermined value was taken while he was in the building. Student was unsure how this occurred. Declined police notification.",Open/Under Investigation
1-2012-003176,10/09/2012,8:50 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a student was observed concealing two text books valued at $205.90 and then attempted to leave the store without paying for them. Individual detained and property was recovered.",Closed/Referred to University Judicial
1-2012-003190,10/10/2012,12:43 PM,Trespass,NYU Shanghai,"On time and date of report, Public Safety was apprised of a trespass situation which occurred in an apartment building where NYU students reside. Local police notified.",Open/Under Investigation
1-2012-003194,10/10/2012,2:27 PM,Larceny,Duke House,"On time and date of report, Public Safety was advised of the theft of three laptop computers with a combined value of $5,700 from an unlocked closet in the basement between July 20th and date of report. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2012-003196,10/10/2012,11:30 PM,Larceny,Carlyle Court,"On time and date of report, a student states that between 10:30pm and 11:30pm on date of report, her laptop valued at $2,000 which was left unattended in the commons was taken. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003203,10/11/2012,12:18 PM,Controlled Substance,NYU Florence,Public Safety was apprised of a student with drug paraphernalia and traces of marijuana in residence at the NYU Florence site. Matter was handled by Site Administration,Closed/Referred to Appropriate Department
1-2012-003206,10/11/2012,12:05 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a student was observed concealing various items from the bookstore valued at $119.87 and attempted to leave the premises without paying. Individual was detained and property was recovered.",Closed/Referred to University Judicial
1-2012-003220,10/12/2012,5:45 PM,Harassment,East Building,"On time and date of report, a staff member states receiving a harassing email from a person known to him at 10am on date of report.",Open/Under Investigation
1-2012-003222,10/13/2012,12:40 AM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003227,10/13/2012,7:20 AM,Larceny,On Campus,"On time and date of report, a student states that sometime after 1am on date of report, his wallet containing a credit card, personal identification and cash was taken from him while in an intoxicated state. NYPd notified and a polcie report was filed.",Closed/Referred to NYPD
1-2012-003234,10/14/2012,6:55 AM,Larceny,Alumni Hall,"On time and date of report, a student states that between 4pm October 13th and 6:50am on date of report, her laptop compter valued at $600 was taken from a fifth floor study room while it was left unattended. Declined police notification",Open/Under Investigation
1-2012-003244,10/14/2012,11:30 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 5pm and time/date of report, his bicycle valued at $600 was taken while secured to the rack in front of the building. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003245,10/15/2012,12:45 AM,Controlled Substance,80 Lafayette Street,"On time and date of report, Public Safety assisted residence life in the confiscation of drug paraphernalia and a small amount of marijuana from an unoccupied room.",Open/Under Investigation
1-2012-003248,10/15/2012,3:27 PM,Criminal Mischief,University Hall,"On time and date of repprt, Public Safety was apprised that at 1:35pm on date of report, an RA observed graffiti on her the exterior of her room door in the hallway. NYPD notified.",Open/Under Investigation
1-2012-003250,10/15/2012,2:00 PM,Larceny (reclassified as missing property/recovered),Coles Sports Center,"On time and date of report, a student states that between 1:45pm and time/date of report, his I-Phone valued at $940 was taken from a couch on the main floor while the property was left unattended. Declined police notification at this time. NOTE: Complainant notified Public Safety on 10/19/12 that he found his property",Closed/Unfounded
1-2012-003252,10/15/2012,10:13 PM,Larceny,Henry Kaufman Management Center,"On time and date of report, a faculty member states that between 4pm and 8:30pm on date of report, her wallet containing cash, credit cards and personal identification was removed from her purse while it was left in her office which was open and unattended.",Open/Under Investigation
1-2012-003253,10/15/2012,11:35 PM,Controlled Substance,Alumni Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana and drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003261,10/16/2012,11:45 AM,Harassment,Genomics Building,"On time and date of report, a staff member reported receiving a threatening email from an unknown person.",Open/Under Investigation
1-2012-003264,10/16/2012,2:15 PM,Larceny,Silver Center,"On time and date of report, a faculty member states that between early April 2012 and late September 2012, a digital camera valued at $497 was taken from a laboratory on the 6th floor. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect or Witness
1-2012-003267,10/16/2012,4:00 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 3:40pm and 3:55pm on date of report, her unattended Mac latop valued at $2,000 was taken from a location on the 9th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003268,10/16/2012,5:40 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 4:30pm and 4:45pm, her unattended texctbook valued at $400 was taken from a location on the 4th floor. Declined police notification.",Open/Under Investigation
1-2012-003275,10/17/2012,9:16 am,Controlled Substance,NYU Prague,"On time and date of report, Public Safety was apprised of a student found to be smoking marijuana in an NYU residence on October 15th.",Closed/Referred to Appropriate Department
1-2012-003280,10/17/2012,12:30 PM,Larceny,Barney Building,"On time and date of report, a student states that between 8pm October 15th and 12pm on date of report, her Mac laptop computer was taken from her studio on the 5th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003293,10/18/2012,1:00 PM,Larceny,14 Washington Mews,"On time and date of report, a staff member states that between 10am and time/date of report, her baseball cap valued at $5 was taken from a first floor location. Declined police notification.",Open/Under Investigation
1-2012-003295,10/18/2012,6:56 PM,Larceny,Washington Square Park,"On time and date of report, a student states that a few minutes prior to this report, an undientified male grabbed her pocketbook which was on the bench next to her and fled out of the park. Bag contained credit cards, personal identification and cash. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2012-003297,10/18/2012,4:15 PM,Criminal Mischief,Kevorkian Center,"On the above time and date, Public Safety was apprised of non bias graffiti on the exterior of the building. It is unknown when this occurred or who is responsible. Declined police notification.",Closed/No Identifiable Suspect
1-2012-003302,10/18/2012,5:05 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a non NYU affiliated individual states that between 4:45pm and time/date of report, his laptop computer valued at $1,000 was taken a 10th floor location. Declined police notification.",Open/Under Investigation
